Key,Count
communication:gsm-r,1
alt_name:id,1
bicycle,173
maxspeed:type,3
maxspeed,53
branch,5
building,449
tactile_paving,7
alt_name:hr,1
alt_name:hy,1
diet:fish,1
toilets:handwashing,1
name:zu,1
addr:city:en,178
recycling:plastic_bottles,1
authentication:nfc,14
name:lmo,1
plant:source,1
tower:construction,7
toll:bicycle,1
board_type,14
addr:postcode,1268
diet:pescetarian,2
alt_name:fr,5
recycling:clothes,1
wikipedia,338
wikipedia:en,1
wikipedia:el,1
website,518
overtaking,2
salt,3
payment:cash,75
payment:contactless,11
tower:type,70
monitoring:weather,1
changing_table:fee,1
name:azb,1
old_name:zh,1
information,130
old_official_name:zh,1
prominence,8
name:wo,1
name:haw,1
diet:chicken,1
operator:wikidata,33
name:hak,1
country_code_fips,1
seamark:type,2
fuel:gasoline,1
ref,370
diet:lactose_free,1
agricultural,3
payment:diners_club,4
female,7
ele,899
name:vi,2
addr:housename,47
alt_name:fa,1
visibility,1
currency:RUB,1
railway:name:2,1
name:vo,1
fuel:GTL_diesel,1
created_by,3
alt_name:es,3
geonames:id,3
service:vehicle:electrical,1
alt_name:eo,1
alt_name:en,12
ruins,2
alt_name:el,8
name:lij,1
footway,3
name:ast,2
name:zh_pinyin,1
official_name,3
name:yo,1
old_fax,1
operator:wikipedia,5
name:war,1
check_date:shelter,1
source:sqkm,1
bath:type,1
self_service,8
surveillance,7
lines,4
alt_name:br,1
payment:visa_electron,7
name:zh,5
roof,1
peak,4
alt_name:de,1
PREFECTURE,2
supervised,8
service,4
communication:103.0,1
service:bicycle:parts,1
name:UN:zh,1
name:yi,1
segregated,77
fountain,29
toll,8
name:pms,1
surveillance:type,7
name:roa-tara,1
leaf_cycle,7
traffic_sign:3:forward,2
reservation,7
loc_name,1
name:ext,1
name:pnb,1
community_centre,1
phone_1,5
viewpoint,1
internet_access:fee,68
service:bicycle:pump,1
alt_name:bg,4
name:csb,1
alt_name:be,1
crossing,2344
exit,1
short_name,2
name2,1
alt_name:ar,3
traffic_sign:backward,2
archaeological_site,6
payment:cards,6
city,57
recycling:shoes,1
roof:colour,1
name:arc,1
healthcare,168
payment:american_express,16
name:arz,1
fitness_station,2
wikipedia:mk,1
railway:name:1,1
generator:source,22
name:jbo,1
product,2
tomb,9
currency:EUR,16
name:lfn,1
currency:others,2
payment:visa,37
oneway,1
ref:EU:ENTSOE_EIC,1
opening_hours:signed,1
noref,1
int_name,2471
species,3
cof,1
amenity_1,1
PRE_ID,2
capital,1
recycling:glass,4
name:rmy,2
fuel,1
wikipedia:pl,2
name:lad,2
name:pih,1
name:als,1
local_ref,57
check_date,101
substation,2
entrance,429
diet:sugar_free,2
ADMINSTATE,2
is_in,146
name:nds,1
source:opening_hours,1
check_date:opening_hours,11
alt,1
vending,2
service:vehicle:used_car_sales,2
planned:government,1
payment:lightning,2
railway:ref,1
disused:shop,9
ref:Bulgaria,1
boundary,52
communication:radio,4
name:ang,1
name:crh,2
prefecture,2
source:name:br,1
ref:RS:kucni_broj,244
motorcar,41
beacon:type,2
service:bicycle:clothing,1
design,2
crossing:markings,143
construction,1
service:vehicle:tyres,2
direction,505
ekatte,1
cable tv,1
fire_hydrant:type,1
population:date,8
sport,40
check_date:traffic_signals:sound,1
payment:notes,8
ISO3166-1,1
accessibility,2
name:ka,25
gambling,2
name:kg,1
official_name:it,1
language:de,1
advertising,8
name:kk,6
name:ki,1
name:kn,1
name:ko,11
name:kl,1
name:km,1
name:ks,1
name:kv,2
lanes,2
name:kw,1
compressed_air,3
recycling:beverage_cartons,1
name:ku,2
railway:signal:main:states,9
name:frp,1
cargo,6
name:frr,1
swimming_pool,1
flag:type,16
name:ja,6
lamp_mount,7
official_name:hr,1
shelter_type,12
crossing_ref,267
name:jv,1
osmc:symbol,22
traffic_signals:sound,240
payment:mastercard,35
name:wuu,1
name:sms,1
generator:method,20
currency:CHF,2
old_phone,1
name:mi,1
official_name:ku,1
name:mg,1
name:ml,4
name:smn,1
old_name:sr-Latn,3
name:mk,867
name:mn,1
name:mt,1
name:mr,2
service:vehicle:painting,2
name:ms,1
name:my,1
official_name:sr-Latn,1
official_name:la,1
kitchen,2
addr:housename:en,2
cemetery,1
name:la,5
name:lb,1
name:lg,1
tidal,3
takeaway,68
name:li,1
religion,238
distance_ahead,4
diet:local,1
name:lo,1
automated,6
name:ln,2
name:lt,28
is_in:city,7
name:lv,3
name:fy,1
service:vehicle:diagnostics,3
addr:flats,1
goods,13
recycling_type,12
source,6359
toll:operator,2
name:ga,1
contact:email,8
operator,722
name:gd,1
source_url,1
survey:date,29
official_name:no,1
service:vehicle:glass,1
name:gn,1
old_official_name,1
school,5
name:gl,1
lit,108
second_hand,2
official_name:nn,1
old_official_name:sr-Latn,1
atm,82
name:gv,1
sells:ice_cream,1
name:gu,1
old_official_name:zh-Hant,1
old_official_name:zh-Hans,1
name_generic:sr,1
uic_ref,1
name:fa,12
alt_name:sr-Latn,3
official_name:lv,1
antenna:type,4
name:ff,1
name:fi,2
name:diq,1
addr:street:en,46
official_name:mk,1
district,2
name,9037
name:fr,63
name:fo,1
railway:position,4
name:hy,6
shop,2318
backcountry,2
distance,1
name:ia,1
name:id,1
description,103
name:ie,1
artwork_type,86
summit,1
traffic_sign:2:forward,2
official_name:pt,1
service:bicycle:cleaning,1
street,62
name:io,1
name:it,12
camera:direction,2
name:is,2
official_name:pl,1
memorial,82
railway:signal:direction,19
name:hsb,1
guest_house,5
service:vehicle:alignment,1
delivery,16
name:shq,1
waterway,34
name:ha,1
stars,12
service:vehicle:truck_repair,1
disused,1
name:he,9
target,6
name:hi,1
colour,34
name:yue,1
drinking_water,42
name:ht,1
name:hr,9
min_age,2
name:hu,17
parking,51
official_name:ar,1
studio,6
name:sg,1
name:se,1
name:sk,4
geonameid,4
place_of_worship,1
name:sh,5
name:scn,1
name:si,2
usage,2
name:sn,1
name:so,1
name:sl,4
toilets:disposal,5
investitors,3
