Winery;Name;Price;Image-Link
Бовин винарија;BOVIN, CABERNET SAUVIGNON – BARRIQUE 2019 0.75L;1.030 ден;https://wine.mk/wp-content/uploads/2023/04/Bovin-Cabernet-Sauvignon-Barik-375x400.jpg
Бовин винарија;BOVIN, EUPHORIA CUVEE 2022, 0.75L;990 ден;https://wine.mk/wp-content/uploads/2023/04/Bovin-Winery-Euphoria-375x400.jpg
Бовин винарија;BOVIN, CHARDONNAY PLATINUM 2020, 0.75L;890 ден;https://wine.mk/wp-content/uploads/2023/04/Chardonnay-Platinum-Bovin-375x400.jpg
Бовин винарија;BOVIN, MERLOT SUPERIOR 2018, 0.75L;850 ден;https://wine.mk/wp-content/uploads/2022/11/%D0%BC%D0%B5%D1%80%D0%BB%D0%BE-%D1%81%D1%83%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D1%80-768x768-1-375x400.jpg
Бовин винарија;BOVIN, GRASHEVINA 2019, 0.75L;680 ден;https://wine.mk/wp-content/uploads/2022/11/Bovin-Grashevina-375x400.jpg
Бовин винарија;BOVIN, A`GUPKA 2015, 0.75L;3.420 ден;https://wine.mk/wp-content/uploads/2020/04/Bovin-red-wine-agupka-375x400.png
Бовин винарија;BOVIN, ALEXANDAR 2019, 0.75L;680 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-alexandar-375x400.png
Бовин винарија;BOVIN, CABERNET FRANC 2016, 0.75L;620 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-cabernet-fnac-375x400.png
Бовин винарија;BOVIN, ERA 2012, 0.75L;16.190 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-era-375x400.png
Бовин винарија;BOVIN, KLEOPATRA 2019, 0.75L;730 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-kleopatra-375x400.png
Бовин винарија;BOVIN, MY WAY 2012, 0.75L;9.790 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-my-way-375x400.png
Бовин винарија;BOVIN, PETIT VERDOT 2018, 0.75L;620 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-petit-verdot-375x400.png
Бовин винарија;BOVIN, SANGIOVESE 2021, 0.75L;620 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-sangiovese-375x400.png
Бовин винарија;BOVIN, TEMPRANILLO 2017, 0.75L;620 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-tempranilo-1-375x400.png
Бовин винарија;BOVIN, VRANEC LATE HARVEST 2016, 0.375L;520 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-red-wine-vranec-375x400.png
Бовин винарија;BOVIN, ANA MARIJA ROSÉ, 2021 0.75L;640 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-rose-wine-ana-marija-375x400.png
Бовин винарија;BOVIN, CHARDONNAY 2022, 0.75L;680 ден;https://wine.mk/wp-content/uploads/2020/04/Chardonnay-the-one-copy-375x400.png
Бовин винарија;BOVIN, TRAMINEC LATE HARVEST 2018, 0.25 L;520 ден;https://wine.mk/wp-content/uploads/2020/04/bovin-white-wine-traminec-375x400.png
Бовин винарија;BOVIN, DISSAN BARRIQUE 2019, 0.75L;1.030 ден;https://wine.mk/wp-content/uploads/2017/11/9_Bovin-Dissan-Barrique-2010-750ml-375x400.png
Бовин винарија;BOVIN, CABERNET SAUVIGNON SUPERIOR 2018, 0.75L;1.030 ден;https://wine.mk/wp-content/uploads/2017/11/bovin-red-wine-cabernet-sauvignon-superior-375x400.png
Бовин винарија;BOVIN, CHARDONNAY – BARRIQUE 2015 0.75L;990 ден;https://wine.mk/wp-content/uploads/2017/11/5_Chardonnay-Barrique-375x400.png
Бовин винарија;BOVIN, MUSCAT TEMJANIKA 2023 0.75L;680 ден;https://wine.mk/wp-content/uploads/2017/11/Muscat-Temjanika-375x400.png
Бовин винарија;BOVIN, TRAMINEC 2020 0.75L;640 ден;https://wine.mk/wp-content/uploads/2017/11/Traminec-375x400.png
Бовин винарија;BOVIN, RIESLING 2021, 0.75L;620 ден;https://wine.mk/wp-content/uploads/2017/11/bovin-white-wine-riesling-375x400.png
Chateau Sopot;CHATEAU SOPOT, RIDOT CABERNET SAUVIGNON 2015, 0.75L;2.000 ден;https://wine.mk/wp-content/uploads/2023/02/2-4-375x400.png
Chateau Sopot;CHATEAU SOPOT, BRUT ROSE – GRAND RESERVE 2013, 0.75L;2.000 ден;https://wine.mk/wp-content/uploads/2023/02/sopot_brut-rose_grand-reserve-375x400.jpg
Chateau Sopot;CHATEAU SOPOT, NALEJ KRATOSHIJA 2020, 0.75L;520 ден;https://wine.mk/wp-content/uploads/2023/02/3-3-375x400.png
Chateau Sopot;CHATEAU SOPOT, CABERNET SAUVIGNON RESERVE 2016, 0.75L;1.020 ден;https://wine.mk/wp-content/uploads/2020/05/Reserve_CabernetSauvignon_OsvetlenoNOVO-375x400.png
